ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
9/28/2019 14:20,22.50933322,-0.039414191,34.61356832,35.9272642,9/28/2019
9/28/2019 15:20,20.59484361,-0.032483849,32.93896139,34.32479222,9/28/2019
9/28/2019 16:20,21.02476837,-0.031565712,32.83634017,33.52724659,9/28/2019
9/28/2019 17:20,22.38666792,-0.03666337,33.26611056,32.58878321,9/28/2019
9/28/2019 18:20,22.25742409,-0.044055454,32.90520419,30.06260517,9/28/2019
9/28/2019 19:20,19.32925677,-0.049149754,31.07810296,25.49632727,9/28/2019
9/28/2019 20:20,14.2650437,-0.049776262,27.78430651,19.77902951,9/28/2019
9/28/2019 21:20,8.797396629,-0.047202702,23.23778705,14.24021299,9/28/2019
9/29/2019 8:20,-2.743381003,-0.031960192,8.498526351,1.279832253,9/29/2019
9/29/2019 9:20,4.151599063,-0.030936036,17.63097996,8.620975923,9/29/2019
9/29/2019 10:20,13.23312201,-0.031326019,27.30897273,18.35170846,9/29/2019
9/29/2019 11:20,20.83648436,-0.031553264,33.96402034,26.99029637,9/29/2019
9/29/2019 12:20,24.03221795,-0.028935483,35.88368626,31.7303447,9/29/2019
9/29/2019 13:20,22.73795102,-0.022268181,34.10203094,32.23611013,9/29/2019
9/29/2019 14:20,19.58615961,-0.013652827,31.26831099,30.44614454,9/29/2019
9/29/2019 15:20,17.67347767,-0.007588769,29.5854188,28.68239117,9/29/2019
9/29/2019 16:20,18.13749203,-0.007761167,29.50577688,27.7833543,9/29/2019
9/29/2019 17:20,19.56510771,-0.014165872,29.98889234,26.80328333,9/29/2019
9/29/2019 18:20,19.53217324,-0.023071423,29.71045923,24.29478593,9/29/2019
9/29/2019 19:20,16.72951173,-0.029873262,27.99340161,19.8042049,9/29/2019
9/29/2019 20:20,11.81825947,-0.032386905,24.83536333,14.21869227,9/29/2019
9/29/2019 21:20,6.528965226,-0.031863625,20.44818871,8.865193462,9/29/2019
9/30/2019 8:20,-2.189846577,-0.043881715,8.235712498,0.255805225,9/30/2019
9/30/2019 9:20,4.955594903,-0.045155988,17.59127905,8.063531455,9/30/2019
9/30/2019 10:20,14.27270621,-0.047715528,27.47920865,18.24788813,9/30/2019
9/30/2019 11:20,22.09405554,-0.049963894,34.32877656,27.32179685,9/30/2019
9/30/2019 12:20,25.48769143,-0.049200876,36.4255536,32.47383053,9/30/2019
9/30/2019 13:20,24.36903401,-0.044205886,34.80187819,33.3635863,9/30/2019
9/30/2019 14:20,21.36865282,-0.037066306,32.10557477,31.92538389,9/30/2019
9/30/2019 15:20,19.58159942,-0.032269551,30.53840866,30.47741063,9/30/2019
9/30/2019 16:20,20.14422086,-0.033491121,30.5519917,29.85493394,9/30/2019
9/30/2019 17:20,21.64253884,-0.040719584,31.10534375,29.10952098,9/30/2019
9/30/2019 18:20,21.65188443,-0.050218633,30.87399782,26.79168048,9/30/2019
9/30/2019 19:20,18.86293384,-0.057381348,29.18104161,22.44626036,9/30/2019
9/30/2019 20:20,13.93704699,-0.060023373,26.02460157,16.95953497,9/30/2019
9/30/2019 21:20,8.605362009,-0.059398581,21.61731367,11.65819424,9/30/2019
10/1/2019 8:20,-1.926434053,-0.058071706,8.227362919,1.048116581,10/1/2019
10/1/2019 9:20,4.997439631,-0.057446642,17.44756244,8.528703665,10/1/2019
10/1/2019 10:20,14.09651253,-0.058080384,27.20622638,18.38142672,10/1/2019
10/1/2019 11:20,21.70641288,-0.058398192,33.93500074,27.12425493,10/1/2019
10/1/2019 12:20,24.89814586,-0.055721201,35.9216867,31.95075094,10/1/2019
10/1/2019 13:20,23.58994604,-0.048849569,34.20068151,32.52537646,10/1/2019
10/1/2019 14:20,20.41501845,-0.039890581,31.42166796,30.78712539,10/1/2019
10/1/2019 15:20,18.47083678,-0.033350489,29.78804333,29.05860635,10/1/2019
10/1/2019 16:20,18.89592519,-0.032922356,29.75280185,28.17919611,10/1/2019
10/1/2019 17:20,20.2782091,-0.038610837,30.27607673,27.20420482,10/1/2019
10/1/2019 18:20,20.19462513,-0.046694071,30.03422926,24.68746813,10/1/2019
